"","CloneID","UGCluster","Symbol","LLID","UGRepAcc","LLRepProtAcc","Chromosome","Cytoband"
"773568",773568,"Hs.211588","POU4F1","5457","NM_006237","NP_006228","13","13q21.1-q22"
"530185",530185,"Hs.79197","CD83","9308","NM_004233","NP_004224","6","6p23"
"810512",810512,"Hs.164226","THBS1","7057","NM_003246","NP_003237","15","15q15"
"624360",624360,"Hs.180062","PSMB8","5696","BM466221","NP_683720","6;9","6p21.3"
"813841",813841,"Hs.274404","PLAT","5327","BX641021","NP_127509","8","8p12"
"813630",813630,"Hs.81170","PIM1","5292","NM_002648","NP_002639","6","6p21.2"
"200814",200814,"Hs.307734","MME","4311","NM_007289","NP_009220","3","3q25.1-q25.2"
"813823",813823,"Hs.406475","LUM","4060","BG114678","NP_002336","12","12q21.3-q22"
"809901",809901,"Hs.409034","COL15A1","1306","NM_001855","NP_001846","9","9q21-q22"
"122159",122159,"Hs.443625","COL3A1","1281","NM_000090","NP_000081","2;22","2q31"
"298155",298155,"Hs.254593","ACADM","34","NM_000016","NP_000007","1","1p31"
"714106",714106,"Hs.77274","PLAU","5328","BC013575","NP_002649","10","10q24"
"609663",609663,"Hs.77439","PRKAR2B","5577","AK128639","NP_002727","7","7q22-q31.1"
"789253",789253,"Hs.25363","PSEN2","5664","BC006365","NP_036618","1;19","1q31-q42"
"898219",898219,"Hs.440459","MEST","4232","AK055108","NP_803491","7;15","7q32"
"840942",840942,"Hs.368409","HLA-DPB1","3115","BC013184","NP_002112","6","6p21.3"
"80109",80109,"In multiple clusters","","","","","",""
"782811",782811,"Hs.57301","HMGA1","3159","BU739829","NP_665912","6;12;2","6p21"
"784224",784224,"Hs.165950","FGFR4","2264","BC011847","NP_075252","5","5q35.1-qter"
"839736",839736,"Hs.408767","CRYAB","1410","BU734674","NP_001876","11;15;1;6;7;X","11q22.3-q23.1"
"151261",151261,"Hs.237971","XTP3TPA","79077","BQ061429","NP_077001","16","16p12.1"
"244618",244618,"Hs.15463","FNDC5","252995","AK092102","NP_715637","1","1p34.3"
"111884",111884,"Hs.318517","TCF7L1","83439","AB031046","NP_112573","2","2p11.2"
"139705",139705,"Hs.28465","","","AK025522","","13;1",""
"262920",262920,"Hs.283690","H41","55573","AK096865","NP_060018","3;22","3q22.1"
"293500",293500,"Hs.19669","FLJ90440","121227","AY358288","NP_700356","12","12q13.2"
"142134",142134,"Hs.102336","ARHGAP8","23779","BC059382","NP_851852","22","22q13.31"
"380620",380620,"Hs.25363","PSEN2","5664","BC006365","NP_036618","1;19","1q31-q42"
"417226",417226,"Hs.202453","MYC","4609","NM_002467","NP_002458","8","8q24.12-q24.13"
"1048810",1048810,"Hs.76285","DKFZP564B167","25874","BM926614","NP_056230","1;19","1q24"
"39796",39796,"Hs.444925","HMGCL","3155","BG033588","NP_000182","1","1p36.1-p35"
"39093",39093,"Hs.144906","METAP2","10988","AK125296","NP_006829","12","12q23.1"
"137158",137158,"Hs.191320","FLJ32731","138050","AK074839","","8","8p11.1"
"365826",365826,"Hs.65029","GAS1","2619","NM_002048","NP_002039","9;17","9q21.3-q22"
"377731",377731,"Hs.75652","GSTM5","2949","AK127250","NP_000842","1","1p13.3"
"345553",345553,"Hs.65424","TNA","7123","BM709593","NP_003269","3","3p22-p21.3"
"486175",486175,"Hs.75231","SLC16A1","6566","NM_003051","NP_003042","1","1p12"
"729964",729964,"Hs.77813","SMPD1","6609","X59960","NP_000534","11;19","11p15.4-p15.1"
"362483",362483,"Hs.205401","SPTBN1","6711; 56969","NM_003128","NP_842565","2","2p21"
"383188",383188,"Data not found","","","","","",""
"345232",345232,"Hs.36","LTA","4049","NM_000595","NP_000586","6","6p21.3"
"307660",307660,"Hs.391561","FABP4","2167","BG261077","NP_001433","8","8q21"
"68950",68950,"Data not found","","","","","",""
"744417",744417,"Data not found","","","","","",""
"377461",377461,"Hs.74034","CAV1","857","NM_001753","NP_001744","7","7q31.1"
"486787",486787,"Hs.194662","CNN3","1266","BC025372","NP_001830","1","1p22-p21"
"325182",325182,"Hs.334131","CDH2","1000","S42303","NP_001783","18","18q11.2"
"740801",740801,"Hs.433307","BCKDHA","593","BF206112","NP_000700","19;1","19q13.1-q13.2"
"197657",197657,"Hs.436219","ALDH1B1","219","NM_000692","NP_000683","9","9p11.1"
"1470048",1470048,"Hs.77667","LY6E","4061","BF969813","NP_002337","8;9","8q24.3"
"1323448",1323448,"Hs.70327","CRIP2","1397; 1396","AK092741","NP_001303","14;20;9","14q32.3"
"1456900",1456900,"Hs.109","DPEP1","1800","NM_004413","NP_004404","16","16q24.3"
"1434905",1434905,"Hs.436181","HOXB7","3217","NM_004502","NP_004493","17","17q21.3"
"1473131",1473131,"Hs.332173","TLE2","7089","NM_003260","NP_003251","19","19p13.3"
"291756",291756,"Hs.110837","TUBB5","10382","NM_006087","NP_006078","19;6","19p13.3"
"431397",431397,"Hs.277324","GALNT1","2589","NM_020474","NP_065207","18","18q12.1"
"195751",195751,"Hs.12835","AKAP7","9465","AF152929","NP_619539","6","6q23"
"172751",172751,"Hs.4880","APBA1","320","AF047347","NP_001154","9;8","9q13-q21.1"
"379708",379708,"Hs.25601","CHD3","1107","U91543","","17","17p13.1"
"448386",448386,"Hs.294101","PBX3","5090","NM_006195","NP_006186","9;3","9q33-q34"
"878798",878798,"Hs.48516","B2M","567","AK022379","NP_004039","15","15q21-q22.2"
"768644",768644,"Hs.296380","POMZP3","22932","U10099","NP_694537","7","7q11.23"
"32493",32493,"Hs.212296","ITGA6","3655","X53586","NP_000201","2","2q31.1"
"1412412",1412412,"Hs.21","ELA2A","63036","AK056678","NP_254275","1","1p36.13"
"1435862",1435862,"Hs.283477","CD99","4267","BF125416","NP_002405","X;Y;2","Xp22.32"
"357031",357031,"Hs.407546","TNFAIP6","7130","BC039384","NP_009046","2","2q24.1"
"810504",810504,"Hs.77422","PLP2","5355","BF214130","NP_002659","X","Xp11.23"
"811108",811108,"Hs.380230","TRIP6","7205; 56996","AK024466","NP_003293","7","7q22"
"178463",178463,"Hs.232068","TCF8","6935","BX647794","NP_110378","10;7","10p11.2"
"812196",812196,"Hs.432605","UGCG","7357","AJ420423","NP_003349","9","9q31"
"811920",811920,"Hs.204891","IL11RA","3590","BC003110","NP_671518","9","9p13"
"753587",753587,"Hs.167741","BTN3A3","10384","NM_006994","NP_932078","6","6p21.3"
"812105",812105,"Hs.75823","AF1Q","10962","BC022448","NP_006809","1","1q21"
"144932",144932,"Hs.433201","CDK2AP1","8099","NM_004642","NP_004633","12;2","12q24.31"
"212640",212640,"Hs.3109","ARHGAP4","393","BC052303","NP_001657","X","Xq28"
"770868",770868,"In multiple clusters","","","","","",""
"134748",134748,"In multiple clusters","","","","","",""
"768443",768443,"Hs.389700","MGST1","4257","AK123482","NP_665735","12","12p12.3-p12.1"
"563673",563673,"Hs.312102","ALDH7A1","501","AK092507","NP_001173","5","5q31"
"784593",784593,"Hs.6838","ARHE","390","NM_005168","NP_005159","2","2q23.3"
"789091",789091,"Hs.28777","HIST1H2AC","8334","BX401161","NP_003503","6","6p21.3"
"786084",786084,"Hs.77254","CBX1","10951","NM_006807","NP_006798","17;X","17q"
"815239",815239,"Hs.278186","ARHGEF1","9138","BC064996","NP_945353","19","19q13.13"
"898218",898218,"Hs.450230","IGFBP3","3486","BX640961","NP_000589","7;10","7p13-p12"
"767345",767345,"Hs.507365","","391791","AY007114","","5","5q13.1"
"1475730",1475730,"Hs.82916","CCT6A","908","AB063318","NP_001753","7","7p11.2"
"1471841",1471841,"Hs.371889","ATP1A1","476; 84852","NM_000701","NP_000692","1;14;7","1p13"
"812965",812965,"Hs.202453","MYC","4609","NM_002467","NP_002458","8","8q24.12-q24.13"
"75254",75254,"Hs.10526","CSRP2","1466","BM470905","NP_001312","12;14","12q21.1"
"760224",760224,"Hs.98493","XRCC1","7515","NM_006297","NP_006288","19","19q13.2"
"207358",207358,"Hs.169902","SLC2A1","6513","NM_006516","NP_006507","1","1p35-p31.3"
"859359",859359,"Hs.50649","TP53I3","9540","NM_004881","NP_671713","2","2p24.1"
"137535",137535,"Hs.183858","TIF1","8805","AK075306","NP_003843","7","7q32-q34"
"52096",52096,"Hs.74615","PDGFRA","5156","NM_006206","NP_006197","4","4q11-q13"
"809694",809694,"Hs.346950","CRABP1","1381","AK096006","NP_004369","15;22","15q24"
"298231",298231,"Hs.167017","GABBR1","2550","AJ225028","NP_068705","6;10","6p21.31"
"755599",755599,"Hs.458414","IFITM1","8519","BF210063","NP_003632","11","11p15.5"
"742132",742132,"Hs.458485","G1P2","9636","BM916335","NP_005092","1","1p36.33"
"382564",382564,"Hs.96028","FOXD1","2297","NM_004472","NP_004463","5","5q12-q13"
"866702",866702,"Hs.387553","PTPN13","5783","U12128","NP_542416","4","4q21.3"
"491565",491565,"Hs.82071","CITED2","10370","AF109161","NP_006070","6;14","6q23.3"
"178825",178825,"Hs.232004","NRGN","4900","BM701366","NP_006167","11","11q24"
"882506",882506,"Hs.83354","LOXL2","4017","NM_002318","NP_002309","8","8p21.3-p21.2"
"743229",743229,"Hs.458657","NEF3","4741","NM_005382","NP_005373","8","8p21"
"770394",770394,"Hs.111903","FCGRT","2217","AK074734","NP_004098","19","19q13.3"
"198982",198982,"Hs.351665","DNMT2","1787","BX537961","NP_788274","10","10p15.1"
"586854",586854,"In multiple clusters","","","","","",""
"505491",505491,"Hs.369026","PTTG1IP","754","AF149785","NP_004330","21;22;X","21q22.3"
"470261",470261,"In multiple clusters","","","","","",""
"364934",364934,"Hs.244318","DAPK1","1612","NM_004938","NP_004929","9","9q34.1"
"82225",82225,"Hs.7306","SFRP1","6422","BC036503","NP_003003","8","8p12-p11.1"
"629896",629896,"Hs.103042","MAP1B","4131","NM_005909","NP_114399","5;11;14;1","5q13"
"80338",80338,"Hs.334841","SELENBP1","8991","BC032997","NP_003935","1","1q21-q22"
"811000",811000,"Hs.79339","LGALS3BP","3959","BC015761","NP_005558","17;7","17q25"
"52076",52076,"Hs.74376","OLFM1","10439","NM_014279","NP_478106","9","9q34.3"
"377048",377048,"Hs.121576","MYO1B","4430","NM_012223","NP_036355","2","2q12-q34"
"1031748",1031748,"Hs.178749","SSX3","10214","NM_021014","NP_783642","X","Xp11.23"
"785967",785967,"Hs.440387","EPB41L2","2037","AK127088","NP_001422","6;12;2","6q23"
"813698",813698,"Hs.18676","SPRY2","10253","BX648582","NP_005833","13;3","13q22.2"
"43733",43733,"Hs.380757","GYG2","8908","NM_003918","NP_003909","X","Xp22.3"
"53039",53039,"Hs.104576","CHST1","8534","NM_003654","NP_003645","11","11p11.2-p11.1"
"754600",754600,"Hs.35841","NFIX","4784","BX537794","NP_002492","19","19p13.3"
"361943",361943,"Hs.170177","MEIS1","4211","AL832770","NP_002389","2","2p14-p13"
"44563",44563,"Hs.79000","GAP43","2596","AK091466","NP_002036","3","3q13.1-q13.2"
"713922",713922,"Hs.279837","GSTM2","2946","BI911084","NP_000839","1;9","1p13.3"
"768246",768246,"Hs.349611","PRKCA","5578; 146784","BX648954","NP_002728","17;15","17q22-q23.2"
"753104",753104,"In multiple clusters","","","","","",""
"214572",214572,"Hs.38481","CDK6","1021","NM_001259","NP_001250","7","7q21-q22"
"124605",124605,"Hs.112028","MINK","50488","BC034673","NP_733763","17;2","17p13.3"
"755506",755506,"Hs.422986","ANXA4","307","BX641114","NP_001144","2","2p13"
"208718",208718,"Hs.287558","ANXA1","301","AK074480","NP_000691","9","9q12-q21.2"
"51448",51448,"Hs.460","ATF3","467","AK123699","NP_004015","1","1q32.3"
"773215",773215,"Hs.410774","RUNX1","861; 80215","D43968","NP_001745","21","21q22.3"
"774502",774502,"Hs.62","PTPN12","5782","BC050008","NP_002826","7","7q11.23"
"714453",714453,"Hs.75545","IL4R","3566","NM_000418","NP_000409","16","16p11.2-12.1"
"814260",814260,"Hs.74050","FVT1","2531","AK126679","NP_002026","18","18q21.3"
"71672",71672,"Hs.169919","ETFA","2108","BM907902","NP_000117","15","15q23-q25"
"841641",841641,"Hs.371468","CCND1","595","NM_053056","NP_444284","11","11q13"
"740554",740554,"Hs.263671","RDX","5962","BC047109","NP_002897","11;X","11q23"
"295985",295985,"Hs.388761","CDK6","1021","AK055922","NP_001250","7","7q21-q22"
"234376",234376,"Hs.481880","","389281","XM_371731","","5","5p13.3"
"138672",138672,"Hs.208081","","","BU616324","","9",""
"139957",139957,"Hs.187471","CYP19A1","1588","NM_031226","NP_112503","15","15q21.1"
"308231",308231,"Hs.121576","MYO1B","4430","NM_012223","NP_036355","2","2q12-q34"
"309864",309864,"Hs.25292","JUNB","3726; 10535","NM_002229","NP_002220","19","19p13.2"
"341588",341588,"In multiple clusters","","","","","",""
"308497",308497,"Hs.412314","HT036","81888","AK096244","NP_112484","1","1p34.1"
"269354",269354,"Hs.368746","NRP2","8828","AL833606","NP_958436","2","2q33.3"
"376802",376802,"Hs.405336","PLCD4","84812","AK023083","NP_116115","2","2q35"
"811028",811028,"Hs.166254","VMP1","81671","BC053563","NP_112200","17;9","17q23.2"
"810133",810133,"Hs.88914","TRIM25","7706","BX538220","NP_005073","17;19","17q23.1"
"810448",810448,"Hs.10949","ERO1L","30001","AF081886","NP_055399","14;16;5","14q22.1"
"364510",364510,"Hs.416026","SATB1","6304","AK127242","NP_002962","3","3p23"
"745343",745343,"Hs.49407","REG1A","5967","BI838728","NP_002900","2","2p12"
"431296",431296,"Hs.272458","PPP3CA","5530","NM_000944","NP_000935","4","4q21-q24"
"145112",145112,"Data not found","","","","","",""
"878280",878280,"Hs.155392","CRMP1","1400","AK122754","NP_001304","4","4p16.1-p15"
"505881",505881,"Hs.407135","ADA","100","AK123988","NP_000013","20","20q12-q13.11"
"289645",289645,"Hs.74565","APLP1","333","AK126907","NP_005157","19;11;17;18","19q13.1"
"395708",395708,"Hs.100058","DPYSL4","10570","NM_006426","NP_006417","10","10q26"
"756401",756401,"Hs.279903","RHEB","6009","AK125446","NP_005605","7;10;14","7q36"
"450152",450152,"Hs.356135","MEIS4","4213","AK054814","","17","17p11.2"
"815794",815794,"Hs.423095","NUCB2","4925; 399873","AK128739","NP_005004","11","11p15.1-p14"
"825740",825740,"In multiple clusters","","","","","",""
"823886",823886,"Hs.280311","MYH10","4628","NM_005964","NP_005955","17","17p13"
"207082",207082,"Hs.278500","GNPDA1","10007","AJ002231","NP_005462","5;9","5q21"
"376516",376516,"Hs.209846","LRBA","987","AF467287","NP_006717","4","4q31.23"
"813707",813707,"Hs.413297","RGS16","6004","NM_002928","NP_002919","1","1q25-q31"
"213136",213136,"Hs.75462","BTG2","7832","NM_006763","NP_006754","1;19","1q32"
"823901",823901,"Hs.13137","UVRAG","7405","NM_003369","NP_003360","11","11q13.5"
"234237",234237,"Hs.424966","PIR","8544","BX537579","NP_003653","X","Xp22.31"
"549146",549146,"Hs.318501","TRIM22","10346","BC035582","NP_006065","11","11p15"
"306901",306901,"Hs.508741","C5orf13","9315","BC011050","NP_004763","5;7;8;9","5q22.2"
"810057",810057,"Hs.221889","CSDA","8531","NM_003651","NP_003642","12;16;18","12p13.1"
"841340",841340,"Hs.352018","TAP1","6890","BX648013","NP_000584","6","6p21.3"
"81518",81518,"Hs.126357","OCRL","4952","NM_000276","NP_001578","X;20","Xq25-q26.1"
"813266",813266,"Hs.421383","FHL1","2273","AK122708","NP_001440","X","Xq26"
"785933",785933,"Hs.15154","SRPX","8406","NM_006307","NP_006298","X","Xp21.1"
"416959",416959,"Hs.302690","NFIB","4781","BX537698","NP_005587","9","9p24.1"
"52079",52079,"Hs.198288","PTPRR","5801","NM_002849","NP_570897","12","12q15"
"841620",841620,"Hs.173381","DPYSL2","1808","BX647115","NP_001377","8","8p22-p21"
"726236",726236,"Hs.283844","BA108L7.2","81855","AK091504","NP_112233","10","10q24.32"
"949934",949934,"Hs.96996","HNRPA0","10949","BG036353","NP_006796","5","5q31"
"760299",760299,"Hs.130865","DKK3","27122","NM_015881","NP_056965","11;6","11p15.2"
"486110",486110,"Hs.91747","PFN2","5217","BC043646","NP_444252","3","3q25.1-q25.2"
"1474174",1474174,"Hs.367877","MMP2","4313","AL832088","NP_004521","16","16q13-q21"
"878652",878652,"Hs.202097","PCOLCE","5118","BM994449","NP_002584","7","7q22"
"85171",85171,"Hs.435639","ARF4","378","BC016325","NP_001651","3;8","3p21.2-p21.1"
"753418",753418,"Hs.515469","","","BX325074","","19",""
"626502",626502,"Hs.433506","ARPC1B","10095","BM907771","NP_005711","7","7q22.1"
"814526",814526,"Hs.236361","RNPC1","55544","NM_017495","NP_906270","20","20q13.31"
"299630",299630,"Hs.278894","STIM2","57620","NM_020860","NP_065911","4","4p15.31"
"502333",502333,"Hs.382168","NCOA3","8202","NM_181659","NP_858045","20","20q12"
"435551",435551,"Hs.108689","SREBF2","6721","BC051385","NP_004590","22;4","22q13"
"470128",470128,"Hs.437459","MYO1E","4643","NM_004998","NP_004989","15","15q21-q22"
"866694",866694,"Hs.458288","HSPC121","51495","AK074898","NP_057479","15","15q22.2"
"32299",32299,"Hs.5753","IMPA2","3613","BM924855","NP_055029","18","18p11.2"
"504791",504791,"Hs.169907","GSTA4","2941","AK074541","NP_001503","6","6p12.1"
"784257",784257,"Hs.21611","KIF3C","3797","BX571741","NP_002245","2","2p23"
"755228",755228,"Hs.436132","DNM1","1759","AK096629","NP_004399","9","9q34"
"292996",292996,"Hs.226755","YWHAH","7533","NM_003405","NP_003396","22;2","22q12.3"
"770014",770014,"Hs.74647","","","BC041074","","14",""
"842918",842918,"Hs.207428","FARP1","10160","BX537667","NP_005757","13;10;11;3","13q32.2-q32.3"
"626555",626555,"Hs.511760","NTE","10908","BC050553","NP_006693","19","19p13.3-p13.2"
"877664",877664,"In multiple clusters","","","","","",""
"843098",843098,"Hs.511745","BASP1","10409","NM_006317","NP_006308","5","5p15.1-p14"
"811956",811956,"Hs.10842","RAN","5901","BM994514","NP_006316","12;17;6","12q24.3"
"244307",244307,"Hs.414795","SERPINE1","5054","BX649164","NP_000593","7","7q21.3-q22"
"140806",140806,"Hs.352733","PAM","5066","NM_000919","NP_620177","5","5q14-q21"
"753215",753215,"Hs.203862","GNAI1","2770","BC026326","NP_002060","7","7q21"
"220096",220096,"Hs.93909","CNGB1","1258","NM_001297","NP_001288","16;1","16q13"
"789376",789376,"Hs.434367","TXNRD1","7296","NM_003330","NP_877420","12","12q23-q24.1"
"79520",79520,"Hs.78305","RAB2","5862","AL137321","NP_002856","8","8q12.1"
"361974",361974,"Hs.44","PTN","5764","NM_002825","NP_002816","7","7q33-q34"
"789357",789357,"Hs.160557","NFKB1","4790","NM_003998","NP_003989","4","4q24"
"824704",824704,"Hs.75694","MPI","4351","BX648475","NP_002426","15","15q22-qter"
"843287",843287,"Hs.86386","MCL1","4170","NM_021960","NP_877495","1;17","1q21"
"85259",85259,"Hs.202833","HMOX1","3162","BG165629","NP_002124","22;5","22q12"
"701751",701751,"Hs.438974","CUTL1","1523","NM_181552","NP_853530","7","7q22.1"
"280837",280837,"Hs.300404","MGC16824","57020","BC050464","NP_064710","16","16p13.11"
"108351",108351,"Hs.13781","MGC35097","200942","BF206557","NP_775817","3","3p21.31"
"134495",134495,"Hs.355608","182-FIP","57532","AB037742","NP_065823","17;19","17q11.2"
"135058",135058,"Hs.169836","SOCS5","9655","NM_144949","NP_659198","2","2p21"
"205490",205490,"Hs.431156","PPP2R1B","5519","AF163473","NP_859050","11","11q23.2"
"292522",292522,"Hs.197081","AKAP12","9590","NM_005100","NP_653080","6","6q24-q25"
"193182",193182,"Hs.279245","TACC1","6867","AF049910","NP_006274","8;4","8p11"
"244637",244637,"Hs.381137","CRI1","23741","NM_014335","NP_055150","15;6","15q21.1-q21.2"
"130892",130892,"Hs.368808","EHD3","30845","NM_014600","NP_055415","2;6","2p21"
"240208",240208,"Data not found","","","","","",""
"135688",135688,"Hs.367725","GATA2","2624","AK127845","NP_116027","3","3q21.3"
"110503",110503,"Hs.480710","","","AL833733","","4",""
"413633",413633,"Data not found","","","","","",""
"783697",783697,"Data not found","","","","","",""
"247582",247582,"Data not found","","","","","",""
"323917",323917,"Hs.155119","EHD1","10938","AK124613","NP_006786","11;15","11q13"
"782503",782503,"Hs.503546","FADS1","3992","NM_013402","NP_037534","11;3","11q12.2-q13.1"
