,Wban,date,Time,StationType,sky_condition,visibility,dry_bulb_faren,dry_bulb_cel,wet_bulb_faren,wet_bulb_cel,dew_point_faren,dew_point_cel,relative_humidity,wind_speed,wind_direction,station_pressure,sea_level_pressure
26,13904,20110102,253,12,CLR,10.00,28,-2.2,25,-3.6,20,-6.7, 72, 5,360,29.81,30.36
27,13904,20110102,353,12,CLR,10.00,27,-2.8,25,-4.0,20,-6.7, 75, 8,350,29.81,30.36
28,13904,20110102,453,12,CLR,10.00,28,-2.2,25,-3.8,19,-7.2, 69, 5,360,29.80,30.36
29,13904,20110102,553,12,CLR,10.00,28,-2.2,25,-3.8,19,-7.2, 69, 5,010,29.82,30.38
30,13904,20110102,653,12,FEW250,10.00,26,-3.3,23,-4.7,18,-7.8, 72, 7,350,29.85,30.41
31,13904,20110102,753,12,FEW150 SCT250,10.00,29,-1.7,25,-3.6,18,-7.8, 63, 7,350,29.86,30.42
32,13904,20110102,853,12,FEW150 SCT250,10.00,37,2.8,31,-0.5,20,-6.7, 50, 6,010,29.87,30.43
33,13904,20110102,953,12,FEW150 SCT250,10.00,42,5.6,33,0.5,16,-8.9, 35, 7,060,29.88,30.44
34,13904,20110102,1053,12,SCT150 SCT250,10.00,45,7.2,35,1.4,16,-8.9, 31, 7,060,29.88,30.43
35,13904,20110102,1153,12,FEW150 SCT250,10.00,49,9.4,37,2.7,16,-8.9, 27, 6,070,29.84,30.40
36,13904,20110102,1253,12,FEW150 SCT250,10.00,52,11.1,39,3.6,16,-8.9, 24, 6,030,29.79,30.35
37,13904,20110102,1353,12,FEW150 BKN250,10.00,53,11.7,39,3.8,15,-9.4, 22, 6,030,29.77,30.32
38,13904,20110102,1453,12,FEW150 SCT250,10.00,55,12.8,40,4.5,16,-8.9, 21, 5,VR ,29.75,30.30
39,13904,20110102,1553,12,FEW150 SCT250,10.00,55,12.8,40,4.5,16,-8.9, 21, 0,000,29.74,30.29
40,13904,20110102,1653,12,FEW150 SCT250,10.00,55,12.8,40,4.5,16,-8.9, 21, 0,000,29.74,30.29
41,13904,20110102,1753,12,SCT150 SCT250,10.00,48,8.9,37,2.9,20,-6.7, 33, 3,060,29.74,30.30
42,13904,20110102,1853,12,SCT150,10.00,44,6.7,36,2.0,22,-5.6, 42, 0,000,29.74,30.30
43,13904,20110102,1953,12,SCT150,10.00,39,3.9,35,1.4,28,-2.2, 65, 0,000,29.74,30.31
44,13904,20110102,2053,12,FEW150,10.00,39,3.9,33,0.7,24,-4.4, 55, 0,000,29.76,30.32
45,13904,20110102,2153,12,FEW150,10.00,33,0.6,30,-0.8,26,-3.3, 75, 0,000,29.75,30.31
46,13904,20110102,2253,12,CLR,10.00,35,1.7,32,0.1,28,-2.2, 76, 0,000,29.74,30.30
47,13904,20110102,2353,12,FEW150,10.00,40,4.4,34,0.9,23,-5.0, 51, 3,190,29.74,30.29
48,13904,20110103,53,12,FEW150,10.00,38,3.3,32,0.2,23,-5.0, 55, 0,000,29.73,30.28
49,13904,20110103,153,12,FEW150,10.00,33,0.6,30,-1.0,25,-3.9, 72, 0,000,29.72,30.27
50,13904,20110103,253,12,CLR,10.00,31,-0.6,29,-1.9,24,-4.4, 75, 0,000,29.71,30.27
51,13904,20110103,353,12,CLR,10.00,32,0.0,29,-1.4,25,-3.9, 75, 0,000,29.70,30.25
52,13904,20110103,453,12,CLR,10.00,30,-1.1,29,-1.9,26,-3.3, 85, 0,000,29.68,30.24
53,13904,20110103,553,12,SCT055,10.00,31,-0.6,29,-1.5,26,-3.3, 82, 0,000,29.67,30.23
54,13904,20110103,653,12,BKN055,10.00,28,-2.2,27,-2.8,25,-3.9, 89, 0,000,29.67,30.24
55,13904,20110103,753,12,OVC055,10.00,37,2.8,35,1.4,31,-0.6, 79, 0,000,29.68,30.24
56,13904,20110103,853,12,OVC055,10.00,41,5.0,38,3.1,33,0.6, 73, 3,080,29.69,30.24
57,13904,20110103,953,12,OVC055,10.00,44,6.7,39,3.8,32,0.0, 63, 3,070,29.70,30.26
58,13904,20110103,1053,12,OVC055,10.00,49,9.4,42,5.5,33,0.6, 54, 3,150,29.69,30.25
59,13904,20110103,1153,12,OVC055,10.00,53,11.7,46,7.5,37,2.8, 55, 8,200,29.67,30.22
60,13904,20110103,1253,12,BKN055,10.00,56,13.3,47,8.5,38,3.3, 51, 7,170,29.62,30.17
61,13904,20110103,1353,12,SCT042 OVC055,10.00,57,13.9,47,8.6,37,2.8, 47, 9,170,29.59,30.14
62,13904,20110103,1453,12,BKN039 OVC055,10.00,58,14.4,49,9.3,39,3.9, 49, 8,170,29.57,30.12
63,13904,20110103,1553,12,BKN039 OVC050,10.00,57,13.9,49,9.2,40,4.4, 53,10,190,29.57,30.11
64,13904,20110103,1653,12,OVC037,10.00,56,13.3,49,9.2,41,5.0, 57, 7,170,29.57,30.11
65,13904,20110103,1753,12,BKN039 OVC050,10.00,56,13.3,49,9.4,42,5.6, 60, 6,170,29.57,30.11
66,13904,20110103,1853,12,SCT035 OVC050,10.00,55,12.8,49,9.2,42,5.6, 62, 5,150,29.57,30.11
67,13904,20110103,1953,12,OVC048,10.00,54,12.2,49,9.1,43,6.1, 67, 0,000,29.57,30.11
68,13904,20110103,2018,12,BKN026 OVC048,10.00,54,12.0,49,9.1,43,6.0, 67, 0,000,29.57,M
69,13904,20110103,2053,12,OVC026,10.00,54,12.2,49,9.1,43,6.1, 67, 0,000,29.57,30.11
70,13904,20110103,2153,12,OVC024,10.00,54,12.2,49,9.1,43,6.1, 67, 0,000,29.57,30.11
71,13904,20110103,2253,12,BKN022 OVC041,10.00,53,11.7,48,8.9,43,6.1, 69, 0,000,29.57,30.11
72,13904,20110103,2332,12,SCT024 OVC039,10.00,54,12.0,49,9.7,45,7.0, 72, 0,000,29.57,M
73,13904,20110103,2353,12,FEW024 OVC039,10.00,53,11.7,49,9.1,44,6.7, 72, 0,000,29.57,30.10
74,13904,20110104,53,12,FEW024 OVC039,10.00,52,11.1,48,8.9,44,6.7, 74, 0,000,29.56,30.09
75,13904,20110104,113,12,BKN024 OVC039,10.00,52,11.0,49,9.1,45,7.0, 77, 0,000,29.56,M
76,13904,20110104,151,12,SCT022 BKN039,10.00,50,10.0,47,8.1,43,6.0, 77, 0,000,29.54,M
77,13904,20110104,153,12,SCT022 BKN039,10.00,50,10.0,47,8.1,43,6.1, 77, 0,000,29.54,30.08
78,13904,20110104,251,12,BKN022 BKN039,10.00,46,8.0,44,6.4,41,5.0, 83, 0,000,29.54,M
79,13904,20110104,253,12,BKN022 BKN039,10.00,46,7.8,44,6.4,41,5.0, 83, 0,000,29.54,30.07
80,13904,20110104,324,12,SCT022,10.00,45,7.0,42,5.7,39,4.0, 80, 0,000,29.54,M
81,13904,20110104,351,12,BKN019,10.00,43,6.0,41,5.1,39,4.0, 86, 0,000,29.54,M
82,13904,20110104,353,12,OVC019,10.00,43,6.1,42,5.3,40,4.4, 89, 0,000,29.54,30.07
83,13904,20110104,451,12,SCT019 BKN037,10.00,46,8.0,45,6.9,43,6.0, 89, 0,000,29.54,M
84,13904,20110104,453,12,SCT019 BKN037,10.00,46,7.8,44,6.7,42,5.6, 86, 0,000,29.53,30.07
85,13904,20110104,511,12,BKN024 OVC037,10.00,46,8.0,45,6.9,43,6.0, 89, 0,000,29.54,M
86,13904,20110104,553,12,BKN020 OVC037,10.00,48,8.9,46,7.8,44,6.7, 86, 0,000,29.54,30.08
87,13904,20110104,653,12,OVC016,10.00,51,10.6,48,8.8,45,7.2, 80, 0,000,29.56,30.09
88,13904,20110104,747,12,OVC013,10.00,52,11.0,49,9.4,46,8.0, 80, 0,000,29.57,M
89,13904,20110104,753,12,OVC013,10.00,52,11.1,49,9.4,46,7.8, 80, 0,000,29.57,30.09
90,13904,20110104,853,12,OVC010,10.00,54,12.2,50,10.2,47,8.3, 77, 0,000,29.57,30.11
91,13904,20110104,953,12,OVC010,10.00,55,12.8,51,10.7,48,8.9, 77, 5,020,29.59,30.13
92,13904,20110104,1053,12,OVC010, 9.00,56,13.3,53,11.5,50,10.0, 80, 7,040,29.59,30.13
93,13904,20110104,1153,12,OVC010, 5.00,56,13.3,54,12.1,52,11.1, 87, 5,040,29.57,30.11
94,13904,20110104,1215,12,OVC008, 4.00,55,13.0,53,11.8,52,11.0, 90, 3,030,29.56,M
95,13904,20110104,1242,12,OVC008, 2.50,55,13.0,54,12.4,54,12.0, 96, 3,VR ,29.54,M
96,13904,20110104,1253,12,OVC008, 2.50,56,13.3,54,12.4,53,11.7, 90, 0,000,29.54,30.07
97,13904,20110104,1312,12,OVC010, 1.50,55,13.0,54,12.4,54,12.0, 96, 0,000,29.54,M
98,13904,20110104,1350,12,FEW007 OVC015, 1.50,57,14.0,56,13.2,55,13.0, 93, 8,010,29.51,M
99,13904,20110104,1353,12,FEW007 OVC015, 1.50,57,13.9,56,13.2,55,12.8, 93, 8,020,29.51,30.04
100,13904,20110104,1453,12,BKN004 OVC014, 1.50,57,13.9,56,13.2,55,12.8, 93, 6,020,29.50,30.03
101,13904,20110104,1553,12,SCT007 OVC015, 1.50,57,13.9,56,13.2,55,12.8, 93, 5,020,29.49,30.02
102,13904,20110104,1635,12,FEW007 OVC014, 1.50,57,14.0,56,13.2,55,13.0, 93, 5,010,29.49,M
103,13904,20110104,1643,12,FEW007 OVC014, 2.50,57,14.0,56,13.2,55,13.0, 93, 7,360,29.48,M
104,13904,20110104,1653,12,FEW007 OVC014, 2.50,57,13.9,56,13.2,55,12.8, 93, 6,010,29.48,30.01
105,13904,20110104,1738,12,SCT007 OVC013, 1.50,55,13.0,55,12.7,55,13.0,100, 5,350,29.48,M
106,13904,20110104,1747,12,BKN007 OVC012, 1.50,55,13.0,55,12.7,55,13.0,100, 6,010,29.48,M
107,13904,20110104,1751,12,BKN007 OVC012, 0.75,55,13.0,55,12.7,55,13.0,100, 6,360,29.48,M
108,13904,20110104,1753,12,BKN007 OVC012, 0.75,56,13.3,55,13.0,55,12.8, 96, 6,360,29.48,30.01
109,13904,20110104,1828,12,SCT004 BKN012 OVC017, 0.75,55,13.0,55,12.7,55,13.0,100, 7,360,29.47,M
110,13904,20110104,1853,12,SCT004 BKN012 OVC017, 0.75,56,13.3,55,13.0,55,12.8, 96, 7,010,29.48,30.01
111,13904,20110104,1929,12,SCT010 OVC016, 0.75,55,13.0,55,12.7,55,13.0,100, 3,350,29.48,M
112,13904,20110104,1953,12,BKN016 OVC023, 0.75,57,13.9,56,13.2,55,12.8, 93, 0,000,29.48,30.01
113,13904,20110104,2001,12,BKN016 OVC023, 3.00,57,14.0,56,13.2,55,13.0, 93, 0,000,29.48,M
114,13904,20110104,2038,12,SCT008 BKN013 OVC020, 3.00,55,13.0,55,12.7,55,13.0,100, 3,360,29.48,M
115,13904,20110104,2053,12,SCT010 OVC013, 3.00,57,13.9,56,13.2,55,12.8, 93, 0,000,29.48,30.01
116,13904,20110104,2153,12,BKN011 OVC018, 3.00,56,13.3,55,13.0,55,12.8, 96, 0,000,29.47,30.00
117,13904,20110104,2203,12,FEW008 BKN011 OVC018, 3.00,55,13.0,55,12.7,55,13.0,100, 0,000,29.48,M
118,13904,20110104,2236,12,BKN006 OVC011, 2.50,55,13.0,55,12.7,55,13.0,100, 3,230,29.48,M
119,13904,20110104,2253,12,OVC006, 2.00,56,13.3,55,13.0,55,12.8, 96, 3,260,29.48,30.01
120,13904,20110104,2327,12,BKN006 BKN013 OVC020, 1.50,57,14.0,56,13.2,55,13.0, 93, 0,000,29.47,M
121,13904,20110104,2351,12,SCT006 OVC013, 1.50,57,14.0,56,13.2,55,13.0, 93, 3,320,29.47,M
122,13904,20110104,2353,12,SCT006 OVC013, 1.50,57,13.9,56,13.5,56,13.3, 96, 3,300,29.47,29.99
123,13904,20110105,13,12,BKN006 OVC014, 1.50,57,14.0,56,13.2,55,13.0, 93, 0,000,29.47,M
124,13904,20110105,44,12,SCT006 OVC011, 2.00,57,14.0,56,13.2,55,13.0, 93, 0,000,29.46,M
125,13904,20110105,53,12,FEW006 OVC011, 2.00,57,13.9,56,13.5,56,13.3, 96, 0,000,29.46,29.99
126,13904,20110105,151,12,OVC011, 3.00,57,14.0,56,13.2,55,13.0, 93, 0,000,29.45,M
127,13904,20110105,153,12,OVC011, 3.00,57,13.9,56,13.5,56,13.3, 96, 0,000,29.45,29.97
128,13904,20110105,253,12,OVC011, 4.00,57,13.9,56,13.2,55,12.8, 93, 0,000,29.44,29.96
129,13904,20110105,314,12,OVC009, 4.00,57,14.0,56,13.2,55,13.0, 93, 0,000,29.45,M
130,13904,20110105,353,12,OVC009, 5.00,57,13.9,56,13.2,55,12.8, 93, 0,000,29.46,29.98
131,13904,20110105,453,12,OVC008, 8.00,57,13.9,56,13.5,56,13.3, 96, 3,220,29.45,29.98
132,13904,20110105,553,12,OVC008,10.00,57,13.9,56,13.2,55,12.8, 93, 3,250,29.46,29.98
133,13904,20110105,653,12,OVC008, 9.00,56,13.3,55,13.0,55,12.8, 96, 0,000,29.48,30.00
134,13904,20110105,712,12,SCT008 SCT025 BKN250, 5.00,54,12.0,53,11.6,52,11.0, 93, 0,000,29.48,M
135,13904,20110105,753,12,FEW034 SCT250 BKN350, 6.00,51,10.6,50,9.9,49,9.4, 93, 6,320,29.49,30.01
136,13904,20110105,853,12,FEW200 SCT350,10.00,58,14.4,54,12.0,50,10.0, 75,10,310,29.51,30.03
137,13904,20110105,953,12,FEW200 SCT350,10.00,61,16.1,51,10.7,42,5.6, 50,10,290,29.53,30.05
138,13904,20110105,1053,12,FEW200 SCT350,10.00,63,17.2,51,10.5,39,3.9, 41, 8,310,29.53,30.05
139,13904,20110105,1153,12,SCT200 BKN300,10.00,66,18.9,51,10.3,34,1.1, 31, 9,310,29.51,30.03
140,13904,20110105,1253,12,FEW150 SCT200 BKN300,10.00,68,20.0,50,9.9,29,-1.7, 23,14,310,29.48,30.00
141,13904,20110105,1353,12,FEW150 SCT200 BKN300,10.00,69,20.6,49,9.2,23,-5.0, 18,16,310,29.45,29.96
142,13904,20110105,1453,12,SCT200 BKN300,10.00,71,21.7,49,9.5,22,-5.6, 16,11,310,29.43,29.95
143,13904,20110105,1553,12,SCT200 BKN300,10.00,70,21.1,48,8.9,19,-7.2, 14,13,300,29.44,29.96
144,13904,20110105,1653,12,SCT200 BKN250,10.00,69,20.6,47,8.3,16,-8.9, 13, 9,310,29.44,29.96
145,13904,20110105,1753,12,BKN200 BKN250,10.00,63,17.2,45,7.1,19,-7.2, 18, 6,330,29.46,29.98
146,13904,20110105,1853,12,SCT200 BKN250,10.00,61,16.1,45,7.1,23,-5.0, 23, 7,330,29.47,29.99
147,13904,20110105,1953,12,FEW200 SCT250,10.00,58,14.4,43,6.3,23,-5.0, 26, 5,290,29.49,30.02
148,13904,20110105,2053,12,FEW030 SCT250,10.00,53,11.7,41,5.2,25,-3.9, 34, 6,300,29.50,30.03
149,13904,20110105,2153,12,FEW030 SCT150,10.00,44,6.7,39,3.6,31,-0.6, 60, 0,000,29.52,30.06
150,13904,20110105,2253,12,FEW030 SCT200,10.00,41,5.0,36,2.3,29,-1.7, 62, 0,000,29.54,30.07
151,13904,20110105,2353,12,CLR,10.00,35,1.7,33,0.3,29,-1.7, 79, 0,000,29.54,30.08
152,13904,20110106,53,12,CLR,10.00,33,0.6,31,-0.2,29,-1.7, 85, 0,000,29.54,30.07
153,13904,20110106,153,12,CLR,10.00,32,0.0,31,-0.6,29,-1.7, 89, 3,290,29.54,30.09
154,13904,20110106,253,12,CLR,10.00,40,4.4,36,2.1,30,-1.1, 68, 7,290,29.54,30.08
155,13904,20110106,353,12,CLR,10.00,37,2.8,34,1.0,29,-1.7, 73, 5,280,29.56,30.09
156,13904,20110106,453,12,CLR,10.00,31,-0.6,30,-1.3,27,-2.8, 85, 0,000,29.54,30.09
157,13904,20110106,553,12,CLR,10.00,32,0.0,31,-0.8,28,-2.2, 85, 0,000,29.57,30.10
158,13904,20110106,653,12,FEW150,10.00,29,-1.7,28,-2.2,26,-3.3, 89, 0,000,29.59,30.13
159,13904,20110106,753,12,FEW250,10.00,32,0.0,31,-0.6,29,-1.7, 89, 0,000,29.59,30.14
160,13904,20110106,853,12,FEW300,10.00,48,8.9,41,5.2,33,0.6, 56, 5,320,29.62,30.15
161,13904,20110106,953,12,FEW200 SCT300,10.00,54,12.2,44,6.7,32,0.0, 43, 8,320,29.63,30.17
162,13904,20110106,1053,12,FEW200 SCT300,10.00,59,15.0,46,7.9,31,-0.6, 35, 8,350,29.63,30.17
163,13904,20110106,1153,12,SCT200 SCT300,10.00,64,17.8,46,7.9,23,-5.0, 21,10,030,29.60,30.14
164,13904,20110106,1253,12,FEW200 SCT300,10.00,64,17.8,46,7.9,23,-5.0, 21, 0,000,29.57,30.10
165,13904,20110106,1353,12,SCT200 BKN300,10.00,65,18.3,47,8.3,24,-4.4, 21, 8,010,29.54,30.08
166,13904,20110106,1453,12,FEW200 BKN300,10.00,66,18.9,47,8.4,23,-5.0, 19, 7,020,29.53,30.05
167,13904,20110106,1553,12,FEW200 BKN300,10.00,67,19.4,48,8.7,23,-5.0, 19, 8,350,29.52,30.05
168,13904,20110106,1653,12,SCT200 BKN250,10.00,63,17.2,46,7.8,24,-4.4, 23, 3,060,29.51,30.04
169,13904,20110106,1753,12,SCT200 BKN250,10.00,53,11.7,42,5.3,26,-3.3, 35, 0,000,29.51,30.05
170,13904,20110106,1853,12,FEW200 SCT250,10.00,47,8.3,39,4.1,29,-1.7, 50, 3,190,29.51,30.06
171,13904,20110106,1953,12,SCT250,10.00,45,7.2,39,3.7,30,-1.1, 56, 5,230,29.52,30.07
172,13904,20110106,2053,12,FEW200 SCT250,10.00,42,5.6,37,2.8,30,-1.1, 63, 5,240,29.52,30.06
173,13904,20110106,2153,12,SCT250,10.00,44,6.7,39,3.8,32,0.0, 63, 5,250,29.51,30.05
174,13904,20110106,2253,12,FEW250,10.00,43,6.1,38,3.5,32,0.0, 65, 3,250,29.50,30.03
175,13904,20110106,2353,12,FEW200,10.00,37,2.8,34,1.2,30,-1.1, 76, 0,000,29.48,30.01
176,13904,20110107,53,12,FEW200 SCT250,10.00,37,2.8,35,1.4,31,-0.6, 79, 0,000,29.48,30.01
177,13904,20110107,153,12,SCT250,10.00,35,1.7,33,0.5,30,-1.1, 82, 0,000,29.46,30.00
178,13904,20110107,253,12,FEW200 SCT250,10.00,37,2.8,35,1.4,31,-0.6, 79, 5,260,29.46,30.00
179,13904,20110107,353,12,FEW200,10.00,32,0.0,30,-0.8,28,-2.2, 85, 3,270,29.44,29.98
180,13904,20110107,453,12,FEW200,10.00,33,0.6,31,-0.6,27,-2.8, 79, 0,000,29.42,29.95
181,13904,20110107,553,12,FEW200,10.00,32,0.0,31,-0.6,29,-1.7, 89, 0,000,29.42,29.96
182,13904,20110107,653,12,FEW200 SCT300,10.00,31,-0.6,30,-1.3,27,-2.8, 85, 0,000,29.40,29.95
183,13904,20110107,753,12,FEW150 SCT200 BKN300,10.00,33,0.6,31,-0.2,29,-1.7, 85, 0,000,29.40,29.95
184,13904,20110107,853,12,FEW150 SCT200 BKN300,10.00,43,6.1,40,4.1,35,1.7, 73, 5,250,29.41,29.95
185,13904,20110107,953,12,FEW150 SCT200 BKN300,10.00,50,10.0,43,6.2,35,1.7, 57, 0,000,29.41,29.94
186,13904,20110107,1053,12,SCT200 BKN300,10.00,58,14.4,46,8.0,33,0.6, 39, 0,000,29.39,29.92
187,13904,20110107,1153,12,FEW200 BKN300,10.00,68,20.0,51,10.4,32,0.0, 26, 0,000,29.34,29.87
188,13904,20110107,1253,12,FEW200 SCT300,10.00,73,22.8,50,9.9,21,-6.1, 14, 0,000,29.29,29.82
189,13904,20110107,1353,12,FEW200 SCT300,10.00,76,24.4,51,10.6,21,-6.1, 13,11,220,29.26,29.78
190,13904,20110107,1453,12,FEW200 SCT300,10.00,75,23.9,52,11.1,26,-3.3, 16, 5,VR ,29.23,29.75
191,13904,20110107,1553,12,SCT250,10.00,75,23.9,53,11.5,29,-1.7, 18, 5,270,29.22,29.75
192,13904,20110107,1653,12,SCT200 BKN250,10.00,74,23.3,53,11.4,30,-1.1, 20, 0,000,29.23,29.75
193,13904,20110107,1753,12,CLR,10.00,70,21.1,51,10.7,31,-0.6, 24, 5,120,29.24,29.77
194,13904,20110107,1853,12,BKN200,10.00,67,19.4,51,10.7,35,1.7, 31, 0,000,29.26,29.79
195,13904,20110107,1953,12,BKN200,10.00,62,16.7,48,8.6,31,-0.6, 31, 5,060,29.28,29.81
196,13904,20110107,2053,12,FEW200,10.00,51,10.6,42,5.6,31,-0.6, 46, 5,350,29.32,29.85
197,13904,20110107,2153,12,CLR,10.00,40,4.4,36,2.3,31,-0.6, 70, 7,340,29.34,29.88
198,13904,20110107,2253,12,CLR,10.00,48,8.9,40,4.6,30,-1.1, 50, 8,360,29.35,29.88
199,13904,20110107,2353,12,CLR,10.00,46,7.8,39,3.6,28,-2.2, 50, 5,010,29.36,29.89
200,13904,20110108,53,12,CLR,10.00,39,3.9,35,1.6,29,-1.7, 67, 8,360,29.35,29.88
201,13904,20110108,153,12,CLR,10.00,40,4.4,36,2.1,30,-1.1, 68, 0,000,29.36,29.89
202,13904,20110108,253,12,CLR,10.00,36,2.2,34,0.9,30,-1.1, 79, 3,010,29.37,29.90
203,13904,20110108,353,12,CLR,10.00,41,5.0,37,2.7,31,-0.6, 68, 3,060,29.36,29.89
204,13904,20110108,453,12,CLR,10.00,46,7.8,39,4.0,30,-1.1, 54, 5,050,29.37,29.89
205,13904,20110108,553,12,CLR,10.00,34,1.1,32,-0.1,28,-2.2, 79, 5,350,29.39,29.92
206,13904,20110108,653,12,FEW250,10.00,37,2.8,34,1.0,29,-1.7, 73, 9,010,29.40,29.93
207,13904,20110108,753,12,FEW250,10.00,38,3.3,34,1.3,29,-1.7, 70, 7,360,29.43,29.97
208,13904,20110108,853,12,FEW250,10.00,49,9.4,41,4.7,29,-1.7, 46, 9,050,29.45,29.98
209,13904,20110108,953,12,FEW250,10.00,52,11.1,41,5.0,26,-3.3, 37,11,040,29.47,30.00
210,13904,20110108,1053,12,FEW100 SCT250,10.00,57,13.9,43,6.3,25,-3.9, 29,11,040,29.45,29.97
211,13904,20110108,1153,12,SCT100 SCT250,10.00,60,15.6,45,6.9,24,-4.4, 25,13,050,29.39,29.92
212,13904,20110108,1253,12,SCT100 SCT250,10.00,63,17.2,46,7.7,24,-4.4, 23,11,040,29.36,29.89
213,13904,20110108,1353,12,FEW100 SCT200 SCT250,10.00,64,17.8,47,8.0,24,-4.4, 22, 8,050,29.31,29.84
214,13904,20110108,1453,12,BKN045 BKN100 BKN250,10.00,65,18.3,47,8.4,25,-3.9, 22, 9,060,29.30,29.83
215,13904,20110108,1553,12,BKN047 BKN100,10.00,64,17.8,47,8.0,24,-4.4, 22,10,080,29.30,29.83
216,13904,20110108,1653,12,SCT047 SCT110,10.00,62,16.7,46,7.6,25,-3.9, 24,10,090,29.29,29.81
217,13904,20110108,1753,12,BKN047 BKN100,10.00,61,16.1,45,7.4,25,-3.9, 25, 8,110,29.29,29.82
218,13904,20110108,1853,12,BKN045 OVC100,10.00,59,15.0,44,6.8,25,-3.9, 27, 8,090,29.29,29.83
219,13904,20110108,1953,12,SCT042 OVC055,10.00,59,15.0,44,6.8,25,-3.9, 27, 6,080,29.30,29.83
220,13904,20110108,2053,12,OVC036,10.00,58,14.4,44,6.7,26,-3.3, 29,13,070,29.26,29.78
221,13904,20110108,2153,12,OVC036,10.00,57,13.9,44,6.4,26,-3.3, 30, 6,080,29.28,29.81
222,13904,20110108,2253,12,OVC038,10.00,56,13.3,44,6.5,28,-2.2, 34, 8,060,29.26,29.79
223,13904,20110108,2307,12,OVC038CB,10.00,57,14.0,44,6.8,28,-2.0, 33,11,130,29.28,M
224,13904,20110108,2341,12,OVC038CB, 9.00,48,9.0,46,7.5,43,6.0, 83, 8,120,29.26,M
225,13904,20110108,2351,12,OVC038CB,10.00,48,9.0,46,7.5,43,6.0, 83, 6,120,29.26,M
226,13904,20110108,2353,12,OVC038CB,10.00,49,9.4,46,7.8,43,6.1, 80, 6,100,29.25,29.78
227,13904,20110109,20,12,OVC033,10.00,48,9.0,46,7.5,43,6.0, 83, 7,100,29.23,M
228,13904,20110109,53,12,OVC033,10.00,48,8.9,46,7.5,43,6.1, 83, 6,090,29.21,29.74
229,13904,20110109,151,12,BKN019 BKN024 OVC033, 7.00,46,8.0,46,7.5,45,7.0, 96,13,340,29.26,M
